Date,Time,Opponent,Venue,Team,Competition,Home score,Away score,Scorers
2026-08-05,19:15:00,Rockspur,Away,First Team,West Wales Premier League,,,
2026-08-08,14:30:00,Pontarddulais Town,Home,First Team,West Wales Premier League,,,
2026-08-11,18:30:00,AFC Glais,Home,First Team,West Wales Premier League,,,
2026-08-15,14:30:00,Cwmamman United,Home,First Team,West Wales Premier League,,,
2026-08-18,19:00:00,Llandarcy,Away,First Team,West Wales Premier League,,,
2026-08-25,18:15:00,Seaside,Away,First Team,West Wales Premier League,,,
2026-08-29,14:30:00,CKSV,Home,First Team,West Wales Premier League,,,
2026-09-12,14:30:00,Giants Grave,Away,First Team,West Wales Premier League,,,
2026-09-19,14:30:00,South Gower,Away,First Team,West Wales Premier League,,,
2026-09-26,14:30:00,Pontlliw,Away,First Team,West Wales Premier League,,,
2026-10-09,19:00:00,Garden Village,Away,First Team,West Wales Premier League,,,
2026-10-17,14:30:00,Penlan,Home,First Team,West Wales Premier League,,,
2026-10-31,14:00:00,Ynystawe Athletic,Away,First Team,West Wales Premier League,,,
2026-11-14,14:00:00,Llangennech,Home,First Team,West Wales Premier League,,,
2026-11-21,14:00:00,West End,Home,First Team,West Wales Premier League,,,
2026-11-28,14:00:00,Rockspur,Home,First Team,West Wales Premier League,,,
2026-12-12,14:00:00,Pontarddulais Town,Away,First Team,West Wales Premier League,,,
2026-12-19,14:00:00,Garden Village,Home,First Team,West Wales Premier League,,,
2027-01-09,13:30:00,AFC Glais,Away,First Team,West Wales Premier League,,,
2027-01-15,19:15:00,Cwmamman United,Away,First Team,West Wales Premier League,,,
2027-01-23,14:00:00,Seaside,Home,First Team,West Wales Premier League,,,
2027-01-30,14:00:00,CKSV,Away,First Team,West Wales Premier League,,,
2027-02-13,14:00:00,South Gower,Home,First Team,West Wales Premier League,,,
2027-02-20,14:00:00,Giants Grave,Home,First Team,West Wales Premier League,,,
2027-03-13,14:30:00,Pontlliw,Home,First Team,West Wales Premier League,,,
2027-03-20,14:30:00,Llandarcy,Home,First Team,West Wales Premier League,,,
2027-03-26,19:15:00,Penlan,Away,First Team,West Wales Premier League,,,
2027-04-03,14:30:00,Ynystawe Athletic,Home,First Team,West Wales Premier League,,,
2027-04-10,14:30:00,Llangennech,Away,First Team,West Wales Premier League,,,
2027-04-17,14:30:00,West End,Away,First Team,West Wales Premier League,,,
2026-07-17,18:30:00,Morriston Sports and Social,Home,Development Team,West Wales Premier League,,,
2026-07-18,14:30:00,Killay,Home,First Team,Summer Cup,,,
2026-07-15,18:00:00,Blaenymaes,Home,Development Team,Friendly,,,
2026-08-07,18:30:00,Maltsters,Home,Development Team,Friendly,,,
